stringId_A,stringId_B,preferredName_A,preferredName_B,ncbiTaxonId,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
9606.ENSP00000002829,9606.ENSP00000309539,SEMA3F,DPYSL2,9606,0.407,0.0,0.0,0.0,0.0,0.0,0.0,0.407
9606.ENSP00000002829,9606.ENSP00000347451,SEMA3F,LINGO1,9606,0.429,0.0,0.0,0.0,0.065,0.0,0.0,0.415
9606.ENSP00000002829,9606.ENSP00000328777,SEMA3F,EFNA5,9606,0.492,0.0,0.0,0.0,0.051,0.0,0.0,0.487
9606.ENSP00000002829,9606.ENSP00000296474,SEMA3F,MST1R,9606,0.496,0.0,0.0,0.0,0.129,0.246,0.0,0.295
9606.ENSP00000002829,9606.ENSP00000368314,SEMA3F,NRCAM,9606,0.51,0.0,0.0,0.0,0.0,0.102,0.0,0.476
9606.ENSP00000002829,9606.ENSP00000263923,SEMA3F,KDR,9606,0.536,0.0,0.0,0.0,0.076,0.0,0.0,0.519
9606.ENSP00000002829,9606.ENSP00000356000,SEMA3F,PLXNA2,9606,0.561,0.0,0.0,0.0,0.089,0.213,0.0,0.908
9606.ENSP00000002829,9606.ENSP00000417335,SEMA3F,ROBO2,9606,0.618,0.0,0.0,0.0,0.052,0.0,0.0,0.613
9606.ENSP00000002829,9606.ENSP00000409171,SEMA3F,PLXNB2,9606,0.893,0.0,0.0,0.0,0.099,0.213,0.0,0.861
9606.ENSP00000002829,9606.ENSP00000351338,SEMA3F,PLXNB1,9606,0.949,0.0,0.0,0.0,0.141,0.213,0.0,0.93
9606.ENSP00000002829,9606.ENSP00000258526,SEMA3F,PLXNC1,9606,0.973,0.0,0.0,0.0,0.0,0.213,0.0,0.967
9606.ENSP00000006015,9606.ENSP00000353151,HOXA11,HOXA4,9606,0.411,0.0,0.0,0.0,0.21,0.078,0.0,0.616
9606.ENSP00000006015,9606.ENSP00000315949,HOXA11,HOXD8,9606,0.426,0.0,0.0,0.0,0.286,0.078,0.0,0.468
9606.ENSP00000006015,9606.ENSP00000309913,HOXA11,TBX5,9606,0.443,0.0,0.0,0.0,0.0,0.155,0.0,0.368
9606.ENSP00000006015,9606.ENSP00000379683,HOXA11,CYP19A1,9606,0.449,0.0,0.0,0.0,0.0,0.056,0.0,0.441
9606.ENSP00000006015,9606.ENSP00000453793,HOXA11,MEIS2,9606,0.473,0.0,0.0,0.0,0.049,0.249,0.0,0.322
9606.ENSP00000006015,9606.ENSP00000430432,HOXA11,HDAC2,9606,0.515,0.0,0.0,0.0,0.0,0.281,0.0,0.353
9606.ENSP00000006015,9606.ENSP00000283921,HOXA11,HOXA10,9606,0.594,0.0,0.0,0.0,0.472,0.0,0.0,0.84
9606.ENSP00000006015,9606.ENSP00000222753,HOXA11,HOXA13,9606,0.674,0.0,0.0,0.0,0.531,0.0,0.0,0.872
9606.ENSP00000011898,9606.ENSP00000356015,TSPAN9,ACAT2,9606,0.408,0.0,0.0,0.0,0.0,0.0,0.0,0.408
9606.ENSP00000011898,9606.ENSP00000482957,TSPAN9,FAM65B,9606,0.449,0.0,0.0,0.0,0.0,0.0,0.0,0.449
9606.ENSP00000011898,9606.ENSP00000324204,TSPAN9,MTURN,9606,0.454,0.0,0.0,0.0,0.09,0.0,0.0,0.425
9606.ENSP00000011898,9606.ENSP00000409382,TSPAN9,CRACR2A,9606,0.472,0.0,0.0,0.0,0.0,0.0,0.0,0.472
9606.ENSP00000011898,9606.ENSP00000317334,TSPAN9,TCP1,9606,0.502,0.0,0.0,0.0,0.0,0.0,0.0,0.502
9606.ENSP00000011898,9606.ENSP00000337501,TSPAN9,NRIP2,9606,0.567,0.0,0.0,0.0,0.0,0.0,0.0,0.567
9606.ENSP00000012443,9606.ENSP00000257904,PPP5C,CDK4,9606,0.401,0.0,0.0,0.0,0.063,0.149,0.0,0.31
9606.ENSP00000012443,9606.ENSP00000352157,PPP5C,MAPK10,9606,0.409,0.0,0.0,0.0,0.052,0.064,0.0,0.388
9606.ENSP00000012443,9606.ENSP00000372023,PPP5C,CHEK2,9606,0.426,0.0,0.0,0.0,0.225,0.213,0.0,0.134
9606.ENSP00000012443,9606.ENSP00000312411,PPP5C,PPM1E,9606,0.43,0.0,0.0,0.0,0.067,0.152,0.0,0.337
9606.ENSP00000012443,9606.ENSP00000263317,PPP5C,NOX4,9606,0.471,0.0,0.0,0.0,0.0,0.0,0.0,0.47
9606.ENSP00000012443,9606.ENSP00000468348,PPP5C,MAP2K6,9606,0.549,0.0,0.0,0.0,0.062,0.0,0.0,0.539
9606.ENSP00000012443,9606.ENSP00000367208,PPP5C,SUGT1,9606,0.59,0.0,0.0,0.0,0.103,0.283,0.0,0.414
9606.ENSP00000012443,9606.ENSP00000216479,PPP5C,AHSA1,9606,0.617,0.0,0.0,0.0,0.062,0.319,0.0,0.449
9606.ENSP00000012443,9606.ENSP00000432083,PPP5C,HSPA8,9606,0.776,0.0,0.0,0.0,0.086,0.318,0.54,0.31
9606.ENSP00000012443,9606.ENSP00000325919,PPP5C,PSMG2,9606,0.902,0.0,0.0,0.0,0.067,0.0,0.9,0.0
9606.ENSP00000012443,9606.ENSP00000329915,PPP5C,PSMG1,9606,0.903,0.0,0.0,0.0,0.073,0.0,0.9,0.0
9606.ENSP00000012443,9606.ENSP00000358548,PPP5C,NRAS,9606,0.909,0.0,0.0,0.0,0.062,0.105,0.9,0.047
9606.ENSP00000012443,9606.ENSP00000316176,PPP5C,UBE2N,9606,0.914,0.0,0.0,0.0,0.09,0.078,0.9,0.1
9606.ENSP00000012443,9606.ENSP00000280326,PPP5C,CCT5,9606,0.921,0.0,0.0,0.0,0.144,0.149,0.9,0.051
9606.ENSP00000012443,9606.ENSP00000299300,PPP5C,CCT2,9606,0.921,0.0,0.0,0.0,0.147,0.149,0.9,0.051
9606.ENSP00000012443,9606.ENSP00000286788,PPP5C,CCT8,9606,0.922,0.0,0.0,0.0,0.146,0.08,0.9,0.13
9606.ENSP00000012443,9606.ENSP00000275603,PPP5C,CCT6A,9606,0.923,0.0,0.0,0.0,0.165,0.149,0.9,0.051
9606.ENSP00000012443,9606.ENSP00000444810,PPP5C,FKBP5,9606,0.933,0.0,0.0,0.0,0.063,0.213,0.9,0.404
9606.ENSP00000012443,9606.ENSP00000317334,PPP5C,TCP1,9606,0.933,0.0,0.0,0.0,0.143,0.149,0.9,0.194
9606.ENSP00000012443,9606.ENSP00000231509,PPP5C,NR3C1,9606,0.955,0.0,0.0,0.0,0.0,0.336,0.9,0.387
9606.ENSP00000012443,9606.ENSP00000351646,PPP5C,STIP1,9606,0.964,0.0,0.0,0.0,0.107,0.504,0.9,0.608
9606.ENSP00000012443,9606.ENSP00000377958,PPP5C,CCT4,9606,0.965,0.0,0.0,0.0,0.152,0.352,0.9,0.45
9606.ENSP00000012443,9606.ENSP00000360609,PPP5C,HSP90AB1,9606,0.987,0.0,0.0,0.0,0.103,0.919,0.72,0.471
9606.ENSP00000035383,9606.ENSP00000264108,LRRC7,HAT1,9606,0.412,0.0,0.0,0.0,0.0,0.0,0.0,0.413
9606.ENSP00000035383,9606.ENSP00000428182,LRRC7,MPP2,9606,0.427,0.0,0.0,0.0,0.07,0.102,0.0,0.369
9606.ENSP00000035383,9606.ENSP00000273183,LRRC7,STAC,9606,0.444,0.0,0.0,0.0,0.0,0.0,0.0,0.444
9606.ENSP00000035383,9606.ENSP00000369822,LRRC7,NQO2,9606,0.468,0.0,0.0,0.0,0.0,0.468,0.0,0.0
9606.ENSP00000035383,9606.ENSP00000384620,LRRC7,NRG1,9606,0.512,0.0,0.0,0.0,0.0,0.058,0.5,0.048
9606.ENSP00000035383,9606.ENSP00000449629,LRRC7,ANKS1B,9606,0.536,0.0,0.0,0.0,0.111,0.068,0.0,0.484
9606.ENSP00000035383,9606.ENSP00000262746,LRRC7,PRDX1,9606,0.543,0.0,0.0,0.0,0.0,0.0,0.0,0.543
9606.ENSP00000035383,9606.ENSP00000374409,LRRC7,PKP4,9606,0.63,0.0,0.0,0.0,0.062,0.147,0.0,0.575
9606.ENSP00000035383,9606.ENSP00000435509,LRRC7,ZIC4,9606,0.658,0.0,0.0,0.0,0.07,0.06,0.0,0.64
9606.ENSP00000035383,9606.ENSP00000345719,LRRC7,TOR1A,9606,0.83,0.0,0.0,0.0,0.0,0.27,0.0,0.777
9606.ENSP00000035383,9606.ENSP00000307134,LRRC7,CTNND2,9606,0.865,0.0,0.0,0.0,0.088,0.389,0.0,0.776
9606.ENSP00000035383,9606.ENSP00000358548,LRRC7,NRAS,9606,0.93,0.0,0.0,0.0,0.0,0.247,0.9,0.148
9606.ENSP00000159111,9606.ENSP00000377958,KDM4B,CCT4,9606,0.422,0.0,0.0,0.0,0.0,0.422,0.0,0.0
9606.ENSP00000159111,9606.ENSP00000400142,KDM4B,EWSR1,9606,0.453,0.0,0.0,0.0,0.073,0.0,0.0,0.435
9606.ENSP00000159111,9606.ENSP00000376204,KDM4B,ASH1L,9606,0.46,0.0,0.0,0.0,0.063,0.071,0.0,0.429
9606.ENSP00000159111,9606.ENSP00000280326,KDM4B,CCT5,9606,0.461,0.0,0.0,0.0,0.0,0.462,0.0,0.0
9606.ENSP00000159111,9606.ENSP00000286788,KDM4B,CCT8,9606,0.613,0.0,0.0,0.0,0.0,0.613,0.0,0.0
9606.ENSP00000159111,9606.ENSP00000316176,KDM4B,UBE2N,9606,0.64,0.0,0.0,0.0,0.073,0.057,0.6,0.092
9606.ENSP00000159111,9606.ENSP00000367034,KDM4B,HIST1H4C,9606,0.656,0.0,0.0,0.0,0.0,0.519,0.0,0.314
9606.ENSP00000159111,9606.ENSP00000328484,KDM4B,HIST1H2AJ,9606,0.665,0.0,0.0,0.0,0.053,0.123,0.6,0.113
9606.ENSP00000159111,9606.ENSP00000304697,KDM4B,UBB,9606,0.902,0.0,0.0,0.0,0.062,0.0,0.9,0.0
9606.ENSP00000159111,9606.ENSP00000382204,KDM4B,JMJD1C,9606,0.916,0.0,0.0,0.0,0.094,0.0,0.0,0.911
9606.ENSP00000160373,9606.ENSP00000229395,CTTNBP2,FGFR1OP2,9606,0.401,0.0,0.0,0.0,0.0,0.077,0.0,0.377
9606.ENSP00000160373,9606.ENSP00000376276,CTTNBP2,SRSF2,9606,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.41
9606.ENSP00000160373,9606.ENSP00000440896,CTTNBP2,PLD5,9606,0.411,0.0,0.0,0.0,0.0,0.0,0.0,0.411
9606.ENSP00000160373,9606.ENSP00000245908,CTTNBP2,SH2D3A,9606,0.414,0.0,0.0,0.0,0.0,0.0,0.0,0.414
9606.ENSP00000160373,9606.ENSP00000317817,CTTNBP2,SH2D3C,9606,0.432,0.0,0.0,0.0,0.0,0.0,0.0,0.432
9606.ENSP00000160373,9606.ENSP00000437737,CTTNBP2,HTR2A,9606,0.448,0.0,0.0,0.0,0.082,0.062,0.0,0.411
9606.ENSP00000160373,9606.ENSP00000399970,CTTNBP2,PPP2R2D,9606,0.507,0.0,0.0,0.0,0.062,0.389,0.0,0.21
9606.ENSP00000160373,9606.ENSP00000367766,CTTNBP2,RPGR,9606,0.529,0.0,0.0,0.0,0.049,0.138,0.0,0.472
9606.ENSP00000160373,9606.ENSP00000304553,CTTNBP2,MPLKIP,9606,0.558,0.0,0.0,0.0,0.0,0.0,0.0,0.558
9606.ENSP00000160373,9606.ENSP00000328992,CTTNBP2,PAXBP1,9606,0.689,0.0,0.0,0.0,0.0,0.0,0.0,0.689
9606.ENSP00000160373,9606.ENSP00000280326,CTTNBP2,CCT5,9606,0.92,0.0,0.0,0.0,0.0,0.92,0.0,0.048
9606.ENSP00000160373,9606.ENSP00000299300,CTTNBP2,CCT2,9606,0.92,0.0,0.0,0.0,0.0,0.92,0.0,0.048
9606.ENSP00000160373,9606.ENSP00000275603,CTTNBP2,CCT6A,9606,0.922,0.0,0.0,0.0,0.0,0.914,0.0,0.134
9606.ENSP00000160373,9606.ENSP00000475615,CTTNBP2,CWC15,9606,0.922,0.0,0.0,0.0,0.0,0.0,0.0,0.922
9606.ENSP00000160373,9606.ENSP00000286788,CTTNBP2,CCT8,9606,0.926,0.0,0.0,0.0,0.0,0.92,0.0,0.116
9606.ENSP00000160373,9606.ENSP00000317334,CTTNBP2,TCP1,9606,0.932,0.0,0.0,0.0,0.0,0.919,0.0,0.195
9606.ENSP00000160373,9606.ENSP00000418447,CTTNBP2,PPP2CA,9606,0.951,0.0,0.0,0.0,0.0,0.922,0.0,0.404
9606.ENSP00000184266,9606.ENSP00000216442,NDUFB4,ATP6V1D,9606,0.418,0.0,0.0,0.0,0.046,0.0,0.0,0.415
9606.ENSP00000184266,9606.ENSP00000273183,NDUFB4,STAC,9606,0.424,0.0,0.0,0.0,0.0,0.0,0.0,0.424
9606.ENSP00000184266,9606.ENSP00000308717,NDUFB4,MRPL48,9606,0.443,0.0,0.0,0.0,0.127,0.0,0.0,0.388
9606.ENSP00000184266,9606.ENSP00000321260,NDUFB4,COX8A,9606,0.46,0.0,0.0,0.0,0.291,0.0,0.0,0.269
9606.ENSP00000184266,9606.ENSP00000349142,NDUFB4,ATP5C1,9606,0.479,0.0,0.0,0.0,0.25,0.0,0.0,0.333
9606.ENSP00000184266,9606.ENSP00000355572,NDUFB4,COA6,9606,0.517,0.0,0.0,0.0,0.232,0.344,0.0,0.119
9606.ENSP00000184266,9606.ENSP00000323071,NDUFB4,ACOT4,9606,0.518,0.0,0.0,0.0,0.0,0.0,0.0,0.518
9606.ENSP00000184266,9606.ENSP00000268130,NDUFB4,WDR93,9606,0.54,0.0,0.0,0.0,0.0,0.0,0.54,0.0
9606.ENSP00000184266,9606.ENSP00000420714,NDUFB4,MRPS14,9606,0.544,0.0,0.0,0.0,0.262,0.0,0.0,0.408
9606.ENSP00000184266,9606.ENSP00000358737,NDUFB4,ATP5F1,9606,0.664,0.0,0.0,0.0,0.357,0.0,0.0,0.499
9606.ENSP00000184266,9606.ENSP00000284727,NDUFB4,ATP5G3,9606,0.751,0.0,0.0,0.0,0.563,0.0,0.0,0.453
9606.ENSP00000184266,9606.ENSP00000301587,NDUFB4,ATP5H,9606,0.771,0.0,0.0,0.0,0.719,0.0,0.0,0.219
9606.ENSP00000184266,9606.ENSP00000306397,NDUFB4,UQCRFS1,9606,0.965,0.0,0.0,0.0,0.433,0.883,0.0,0.517
9606.ENSP00000184266,9606.ENSP00000354665,NDUFB4,MT-ND6,9606,0.976,0.0,0.0,0.0,0.062,0.929,0.6,0.204
9606.ENSP00000184266,9606.ENSP00000354961,NDUFB4,MT-ND4,9606,0.995,0.0,0.0,0.0,0.125,0.929,0.9,0.397
9606.ENSP00000184266,9606.ENSP00000281031,NDUFB4,NDUFC2,9606,0.998,0.0,0.0,0.0,0.501,0.955,0.9,0.467
9606.ENSP00000184266,9606.ENSP00000369176,NDUFB4,NDUFB6,9606,0.998,0.0,0.0,0.0,0.777,0.901,0.9,0.488
9606.ENSP00000184266,9606.ENSP00000263774,NDUFB4,NDUFS3,9606,0.999,0.0,0.0,0.0,0.295,0.998,0.9,0.579
9606.ENSP00000184266,9606.ENSP00000237889,NDUFB4,NDUFB3,9606,0.999,0.0,0.0,0.0,0.889,0.868,0.9,0.456
9606.ENSP00000193391,9606.ENSP00000287590,IMPG2,B3GNT7,9606,0.443,0.0,0.0,0.0,0.0,0.0,0.0,0.443
9606.ENSP00000193391,9606.ENSP00000265843,IMPG2,EXPH5,9606,0.443,0.0,0.0,0.0,0.0,0.0,0.0,0.443
9606.ENSP00000193391,9606.ENSP00000367766,IMPG2,RPGR,9606,0.452,0.0,0.0,0.0,0.0,0.0,0.0,0.452
9606.ENSP00000193391,9606.ENSP00000317123,IMPG2,SNRNP200,9606,0.497,0.0,0.0,0.0,0.0,0.0,0.0,0.498
9606.ENSP00000193391,9606.ENSP00000291536,IMPG2,RSPH1,9606,0.521,0.0,0.0,0.0,0.0,0.0,0.0,0.521
9606.ENSP00000193391,9606.ENSP00000305941,IMPG2,USH2A,9606,0.528,0.0,0.0,0.0,0.062,0.0,0.0,0.518
9606.ENSP00000193391,9606.ENSP00000359245,IMPG2,ABCA4,9606,0.562,0.0,0.0,0.0,0.0,0.0,0.0,0.562
9606.ENSP00000194214,9606.ENSP00000249373,HSPB11,SMO,9606,0.428,0.0,0.0,0.0,0.0,0.0,0.0,0.428
9606.ENSP00000194214,9606.ENSP00000272348,HSPB11,SNRPG,9606,0.432,0.0,0.0,0.0,0.213,0.0,0.0,0.308
9606.ENSP00000194214,9606.ENSP00000289672,HSPB11,PKD1L1,9606,0.441,0.0,0.0,0.0,0.0,0.0,0.0,0.441
9606.ENSP00000194214,9606.ENSP00000310111,HSPB11,HSPB7,9606,0.446,0.0,0.0,0.0,0.0,0.0,0.0,0.446
9606.ENSP00000194214,9606.ENSP00000272424,HSPB11,TPRKB,9606,0.492,0.0,0.0,0.0,0.167,0.0,0.0,0.414
9606.ENSP00000194214,9606.ENSP00000360421,HSPB11,LRRC42,9606,0.635,0.0,0.0,0.0,0.119,0.0,0.0,0.602
9606.ENSP00000194214,9606.ENSP00000362424,HSPB11,TRAF3IP1,9606,0.933,0.0,0.0,0.0,0.064,0.0,0.8,0.674
9606.ENSP00000194214,9606.ENSP00000264020,HSPB11,IFT46,9606,0.967,0.0,0.0,0.0,0.082,0.13,0.8,0.818
9606.ENSP00000194214,9606.ENSP00000393541,HSPB11,IFT27,9606,0.999,0.0,0.0,0.0,0.072,0.949,0.8,0.988
9606.ENSP00000198536,9606.ENSP00000315011,PILRA,EDNRA,9606,0.445,0.0,0.0,0.0,0.0,0.0,0.0,0.445
9606.ENSP00000198536,9606.ENSP00000328277,PILRA,B4GALNT4,9606,0.472,0.0,0.0,0.0,0.0,0.471,0.0,0.043
9606.ENSP00000198536,9606.ENSP00000292330,PILRA,PPP1R35,9606,0.475,0.0,0.0,0.0,0.0,0.0,0.0,0.475
9606.ENSP00000198536,9606.ENSP00000300181,PILRA,TSC22D4,9606,0.495,0.0,0.0,0.0,0.077,0.0,0.0,0.476
9606.ENSP00000198536,9606.ENSP00000382731,PILRA,CECR1,9606,0.562,0.0,0.0,0.0,0.105,0.0,0.0,0.531
9606.ENSP00000198536,9606.ENSP00000327732,PILRA,C7orf61,9606,0.566,0.0,0.0,0.0,0.0,0.0,0.0,0.566
9606.ENSP00000198536,9606.ENSP00000391592,PILRA,PTPN6,9606,0.639,0.0,0.0,0.0,0.098,0.617,0.0,0.0
9606.ENSP00000200135,9606.ENSP00000479322,ZW10,CLIP1,9606,0.522,0.0,0.0,0.0,0.0,0.0,0.0,0.522
9606.ENSP00000200135,9606.ENSP00000265295,ZW10,SPDL1,9606,0.739,0.0,0.0,0.0,0.127,0.0,0.0,0.713
9606.ENSP00000200135,9606.ENSP00000350036,ZW10,SMC1B,9606,0.744,0.0,0.0,0.0,0.087,0.726,0.0,0.061
9606.ENSP00000200135,9606.ENSP00000384182,ZW10,SCFD2,9606,0.911,0.0,0.0,0.0,0.085,0.74,0.0,0.658
9606.ENSP00000200135,9606.ENSP00000231668,ZW10,BNIP1,9606,0.942,0.0,0.0,0.0,0.062,0.0,0.6,0.859
9606.ENSP00000201979,9606.ENSP00000384192,REM1,RASGRP3,9606,0.408,0.0,0.0,0.0,0.0,0.161,0.0,0.324
9606.ENSP00000201979,9606.ENSP00000364749,REM1,RSG1,9606,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.411
9606.ENSP00000201979,9606.ENSP00000296474,REM1,MST1R,9606,0.422,0.0,0.0,0.0,0.062,0.243,0.0,0.252
9606.ENSP00000201979,9606.ENSP00000371554,REM1,SOD3,9606,0.433,0.0,0.0,0.0,0.111,0.177,0.0,0.288
9606.ENSP00000201979,9606.ENSP00000428924,REM1,LYN,9606,0.435,0.0,0.0,0.0,0.0,0.14,0.0,0.371
9606.ENSP00000201979,9606.ENSP00000381793,REM1,GRB10,9606,0.438,0.0,0.0,0.0,0.0,0.078,0.0,0.416
9606.ENSP00000201979,9606.ENSP00000380713,REM1,RASSF7,9606,0.453,0.0,0.0,0.0,0.0,0.0,0.0,0.453
9606.ENSP00000201979,9606.ENSP00000307272,REM1,RPTOR,9606,0.471,0.0,0.0,0.0,0.0,0.104,0.0,0.434
9606.ENSP00000201979,9606.ENSP00000341551,REM1,SMAD4,9606,0.477,0.0,0.0,0.0,0.0,0.062,0.0,0.465
9606.ENSP00000201979,9606.ENSP00000249071,REM1,RAC2,9606,0.484,0.0,0.0,0.0,0.0,0.15,0.0,0.418
9606.ENSP00000201979,9606.ENSP00000464145,REM1,GDF10,9606,0.485,0.0,0.0,0.0,0.069,0.057,0.0,0.461
9606.ENSP00000201979,9606.ENSP00000263923,REM1,KDR,9606,0.486,0.0,0.0,0.0,0.089,0.102,0.0,0.422
9606.ENSP00000201979,9606.ENSP00000257904,REM1,CDK4,9606,0.517,0.0,0.0,0.0,0.0,0.142,0.0,0.461
9606.ENSP00000201979,9606.ENSP00000317817,REM1,SH2D3C,9606,0.536,0.0,0.0,0.0,0.0,0.0,0.0,0.536
9606.ENSP00000201979,9606.ENSP00000435412,REM1,RPS6KA1,9606,0.548,0.0,0.0,0.0,0.0,0.084,0.0,0.527
9606.ENSP00000201979,9606.ENSP00000371253,REM1,GART,9606,0.562,0.0,0.0,0.0,0.0,0.0,0.0,0.562
9606.ENSP00000201979,9606.ENSP00000387699,REM1,CREB1,9606,0.582,0.0,0.0,0.0,0.0,0.104,0.0,0.553
9606.ENSP00000201979,9606.ENSP00000222693,REM1,CAV2,9606,0.6,0.0,0.0,0.0,0.0,0.092,0.0,0.577
9606.ENSP00000202967,9606.ENSP00000372023,SIRT4,CHEK2,9606,0.402,0.0,0.0,0.0,0.064,0.152,0.0,0.307
9606.ENSP00000202967,9606.ENSP00000307272,SIRT4,RPTOR,9606,0.405,0.0,0.0,0.0,0.063,0.0,0.0,0.391
9606.ENSP00000202967,9606.ENSP00000384273,SIRT4,RELA,9606,0.405,0.0,0.0,0.0,0.0,0.057,0.0,0.395
9606.ENSP00000202967,9606.ENSP00000249269,SIRT4,PMPCB,9606,0.419,0.0,0.0,0.0,0.062,0.403,0.0,0.045
9606.ENSP00000202967,9606.ENSP00000363641,SIRT4,TXN,9606,0.421,0.0,0.0,0.0,0.0,0.0,0.0,0.421
9606.ENSP00000202967,9606.ENSP00000387699,SIRT4,CREB1,9606,0.426,0.0,0.0,0.0,0.0,0.0,0.0,0.427
9606.ENSP00000202967,9606.ENSP00000378782,SIRT4,QPRT,9606,0.455,0.042,0.0,0.0,0.0,0.0,0.0,0.455
9606.ENSP00000202967,9606.ENSP00000229595,SIRT4,ASF1A,9606,0.544,0.0,0.0,0.0,0.062,0.153,0.0,0.473
9606.ENSP00000202967,9606.ENSP00000376204,SIRT4,ASH1L,9606,0.549,0.0,0.0,0.0,0.0,0.135,0.0,0.5
9606.ENSP00000202967,9606.ENSP00000316924,SIRT4,ACSS1,9606,0.563,0.0,0.0,0.0,0.062,0.0,0.0,0.554
9606.ENSP00000202967,9606.ENSP00000253382,SIRT4,ACSS2,9606,0.573,0.0,0.0,0.0,0.061,0.0,0.0,0.564
9606.ENSP00000202967,9606.ENSP00000352257,SIRT4,XRCC6,9606,0.593,0.0,0.0,0.0,0.062,0.076,0.0,0.568
9606.ENSP00000202967,9606.ENSP00000367034,SIRT4,HIST1H4C,9606,0.626,0.0,0.0,0.0,0.0,0.156,0.0,0.575
9606.ENSP00000202967,9606.ENSP00000331897,SIRT4,IDH2,9606,0.636,0.045,0.0,0.0,0.0,0.284,0.0,0.511
9606.ENSP00000202967,9606.ENSP00000302967,SIRT4,HDAC3,9606,0.666,0.0,0.0,0.0,0.052,0.183,0.0,0.604
9606.ENSP00000202967,9606.ENSP00000373620,SIRT4,HSPD1,9606,0.699,0.0,0.0,0.0,0.049,0.668,0.0,0.124
9606.ENSP00000202967,9606.ENSP00000430432,SIRT4,HDAC2,9606,0.758,0.0,0.0,0.0,0.052,0.183,0.0,0.712
9606.ENSP00000202967,9606.ENSP00000264606,SIRT4,HDAC4,9606,0.82,0.0,0.0,0.0,0.052,0.183,0.0,0.786
9606.ENSP00000202967,9606.ENSP00000366410,SIRT4,NMNAT1,9606,0.872,0.058,0.0,0.0,0.062,0.0,0.65,0.635
9606.ENSP00000202967,9606.ENSP00000360671,SIRT4,SLC25A5,9606,0.901,0.0,0.0,0.0,0.062,0.375,0.0,0.843
9606.ENSP00000202967,9606.ENSP00000295757,SIRT4,HDAC11,9606,0.909,0.0,0.0,0.0,0.072,0.183,0.0,0.889
9606.ENSP00000206542,9606.ENSP00000432083,OSGEP,HSPA8,9606,0.419,0.0,0.0,0.0,0.089,0.173,0.0,0.29
9606.ENSP00000206542,9606.ENSP00000407323,OSGEP,EBNA1BP2,9606,0.422,0.0,0.0,0.0,0.422,0.0,0.0,0.0
9606.ENSP00000206542,9606.ENSP00000217121,OSGEP,TPD52L2,9606,0.423,0.0,0.0,0.0,0.0,0.423,0.0,0.0
9606.ENSP00000206542,9606.ENSP00000419422,OSGEP,AGTR1,9606,0.441,0.0,0.0,0.0,0.0,0.0,0.0,0.441
9606.ENSP00000206542,9606.ENSP00000228463,OSGEP,SELPLG,9606,0.467,0.0,0.0,0.0,0.0,0.0,0.0,0.467
9606.ENSP00000206542,9606.ENSP00000338562,OSGEP,STX3,9606,0.468,0.0,0.0,0.0,0.062,0.0,0.0,0.456
9606.ENSP00000206542,9606.ENSP00000446479,OSGEP,FICD,9606,0.469,0.0,0.0,0.0,0.0,0.0,0.0,0.469
9606.ENSP00000206542,9606.ENSP00000379975,OSGEP,ILK,9606,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.49
9606.ENSP00000206542,9606.ENSP00000368970,OSGEP,UFM1,9606,0.49,0.0,0.0,0.0,0.053,0.484,0.0,0.0
9606.ENSP00000206542,9606.ENSP00000254940,OSGEP,NIP7,9606,0.542,0.0,0.0,0.0,0.542,0.0,0.0,0.0
9606.ENSP00000206542,9606.ENSP00000387982,OSGEP,WDR73,9606,0.603,0.0,0.0,0.0,0.062,0.0,0.0,0.595
9606.ENSP00000206542,9606.ENSP00000355011,OSGEP,ILF2,9606,0.687,0.0,0.0,0.0,0.062,0.681,0.0,0.0
9606.ENSP00000206542,9606.ENSP00000216714,OSGEP,APEX1,9606,0.726,0.0,0.0,0.0,0.066,0.0,0.0,0.718
9606.ENSP00000206542,9606.ENSP00000357633,OSGEP,GLRX3,9606,0.8,0.0,0.0,0.0,0.064,0.682,0.0,0.383
9606.ENSP00000206542,9606.ENSP00000361186,OSGEP,TP53RK,9606,0.999,0.192,0.897,0.0,0.252,0.969,0.9,0.994
9606.ENSP00000206542,9606.ENSP00000272424,OSGEP,TPRKB,9606,0.999,0.0,0.0,0.0,0.189,0.968,0.9,0.981
9606.ENSP00000207157,9606.ENSP00000320089,TBX15,NKX2-6,9606,0.415,0.0,0.0,0.0,0.0,0.212,0.0,0.288
9606.ENSP00000207157,9606.ENSP00000322229,TBX15,FADS1,9606,0.417,0.0,0.0,0.0,0.0,0.058,0.0,0.407
9606.ENSP00000207157,9606.ENSP00000327758,TBX15,NKX2-5,9606,0.421,0.0,0.0,0.0,0.0,0.212,0.0,0.296
9606.ENSP00000207157,9606.ENSP00000349131,TBX15,RSPO3,9606,0.443,0.0,0.0,0.0,0.063,0.057,0.0,0.421
9606.ENSP00000207157,9606.ENSP00000315949,TBX15,HOXD8,9606,0.468,0.0,0.0,0.0,0.089,0.103,0.0,0.401
9606.ENSP00000207157,9606.ENSP00000482581,TBX15,TWIST2,9606,0.592,0.0,0.0,0.0,0.098,0.0,0.0,0.566
9606.ENSP00000207157,9606.ENSP00000235521,TBX15,WARS2,9606,0.671,0.0,0.0,0.0,0.0,0.0,0.0,0.671
